https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=1
Ноутбук Lenovo Core i3 4 GB,Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,5 мая 10:00,/sankt-peterburg/noutbuki/noutbuk_lenovo_core_i3_4_gb_1861000234,12 000  ₽
"Ноутбуки б/у на i3, i5, i7",Частник,5 мая 09:05,/sankt-peterburg/noutbuki/noutbuki_bu_na_i3_i5_i7_1887523774?slocation=107621,9 900  ₽
Ноутбук,Компания,5 мая 09:02,/sankt-peterburg/noutbuki/noutbuk_1058262874,3 000  ₽
Ноутбук,Нева-Комп Главный Компьютерный Магазин №1 в СПБ,5 мая 00:00,/sankt-peterburg/noutbuki/noutbuk_1894115494,9 700  ₽
Asus M50V,Частник,5 мая 09:54,/sankt-peterburg/noutbuki/asus_m50v_1939745343?slocation=107621,3 000  ₽
Acer,Частник,5 мая 09:32,/kudrovo/noutbuki/acer_1886688709?slocation=107621,4 500  ₽
Ноутбук gigabyte w566n,Частник,5 мая 09:34,/murino/noutbuki/noutbuk_gigabyte_w566n_1793504674?slocation=107621,3 000  ₽
Apple MacBook Air,Частник,5 мая 09:32,/sankt-peterburg/noutbuki/apple_macbook_air_1912987240?slocation=107621,6 500  ₽
MacBook Air 13 i5 2011 год,Частник,5 мая 09:33,/sankt-peterburg/noutbuki/macbook_air_13_i5_2011_god_1913790124,21 000  ₽
Acer,Частник,5 мая 09:17,/sankt-peterburg/noutbuki/acer_1909441127?slocation=107621,2 000  ₽
Asus,Частник,5 мая 09:45,/sankt-peterburg/noutbuki/asus_1923063283,11 000  ₽
Продам MacBook Air 128 gb,Частник,5 мая 09:30,/sankt-peterburg/noutbuki/prodam_macbook_air_128_gb_1917086759?slocation=107621,40 000  ₽
Ноутбук Dell Inspiron 15 3000,Частник,5 мая 09:27,/sankt-peterburg/noutbuki/noutbuk_dell_inspiron_15_3000_1762587961?slocation=107621,30 000  ₽
MacBook 13,Частник,5 мая 08:48,/sankt-peterburg/noutbuki/macbook_13_1886157125,4 500  ₽
Ноутбук,Частник,5 мая 09:22,/sankt-peterburg/noutbuki/noutbuk_1942456535?slocation=107621,8 499  ₽
Ноутбук lenovo Y560P на запчасти,Частник,5 мая 09:16,/sankt-peterburg/noutbuki/noutbuk_lenovo_y560p_na_zapchasti_1937612717,3 500  ₽
"Продам по запчастям ноутбуки HP, dell, toshiba",Частник,5 мая 09:29,/sankt-peterburg/noutbuki/prodam_po_zapchastyam_noutbuki_hp_dell_toshiba_1808684679,500  ₽
